l_orderkey	l_quantity	l_extendedprice	c_custkey	c_acctbal	c_nationkey
20711	20.00	24462.60	108488	4522.02	F	1-URGENT
20711	17.00	21968.42	108488	4522.02	F	1-URGENT
20711	5.00	7042.05	108488	4522.02	F	1-URGENT
21095	2.00	2776.86	77041	9519.06	F	1-URGENT
22083	1.00	991.01	147151	2690.82	F	1-URGENT
22243	16.00	23224.00	106261	703.97	F	1-URGENT
22498	9.00	15855.12	80138	2401.18	F	1-URGENT
23046	42.00	50617.56	128102	7280.76	F	1-URGENT
24102	3.00	2820.06	126881	7395.37	F	1-URGENT
24102	35.00	47857.95	126881	7395.37	F	1-URGENT
20450	24.00	41368.32	7360	6563.75	F	1-URGENT
20934	16.00	22423.84	7798	8383.36	F	1-URGENT
21059	40.00	52375.20	53518	8650.92	F	1-URGENT
21440	24.00	32265.84	137674	343.48	F	1-URGENT
21440	45.00	48649.95	137674	343.48	F	1-URGENT
22817	4.00	7939.64	115198	5926.28	F	1-URGENT
22948	12.00	17321.64	7774	5142.90	F	1-URGENT
23648	6.00	6120.24	86819	3814.29	F	1-URGENT
20484	48.00	52851.84	111640	860.51	F	1-URGENT
21095	44.00	84297.40	77041	9519.06	F	1-URGENT
21095	34.00	49178.62	77041	9519.06	F	1-URGENT
22083	16.00	17569.76	147151	2690.82	F	1-URGENT
22243	36.00	42236.64	106261	703.97	F	1-URGENT
22498	7.00	9207.03	80138	2401.18	F	1-URGENT
22851	9.00	10675.80	110009	9866.02	F	1-URGENT
22851	7.00	7833.21	110009	9866.02	F	1-URGENT
23233	24.00	45282.96	145972	7072.35	F	1-URGENT
23264	16.00	33343.84	6694	9588.19	F	1-URGENT
23264	49.00	93537.57	6694	9588.19	F	1-URGENT
23429	5.00	9864.70	118243	7245.59	F	1-URGENT
23429	40.00	49729.20	118243	7245.59	F	1-URGENT
24102	15.00	22882.05	126881	7395.37	F	1-URGENT
24102	17.00	28640.58	126881	7395.37	F	1-URGENT
24102	31.00	47881.98	126881	7395.37	F	1-URGENT
20451	34.00	60515.58	83821	8347.96	F	1-URGENT
21030	45.00	85993.20	30517	2238.69	F	1-URGENT
21573	29.00	34107.48	31600	1513.33	F	1-URGENT
21573	15.00	27642.60	31600	1513.33	F	1-URGENT
21573	10.00	12871.90	31600	1513.33	F	1-URGENT
21860	47.00	50339.35	60403	4675.48	F	1-URGENT
22563	1.00	1806.79	85321	7164.11	F	1-URGENT
22563	43.00	68954.80	85321	7164.11	F	1-URGENT
22563	4.00	3776.08	85321	7164.11	F	1-URGENT
23584	45.00	82657.80	113311	9318.37	F	1-URGENT
23584	21.00	26656.35	113311	9318.37	F	1-URGENT
23587	18.00	26034.84	126115	3267.46	F	1-URGENT
23587	23.00	38400.11	126115	3267.46	F	1-URGENT
23911	46.00	83114.64	31756	8584.20	F	1-URGENT
23911	30.00	35227.20	31756	8584.20	F	1-URGENT
23911	25.00	26777.25	31756	8584.20	F	1-URGENT
24098	29.00	41132.15	66955	8455.59	F	1-URGENT
20135	19.00	31609.92	137122	3090.20	F	1-URGENT
20135	41.00	45760.51	137122	3090.20	F	1-URGENT
20322	3.00	4549.44	117391	7199.23	F	1-URGENT
21286	31.00	57776.87	60686	6429.70	F	1-URGENT
21985	29.00	53092.62	21697	2156.36	F	1-URGENT
22087	41.00	70136.24	45607	2211.30	F	1-URGENT
22374	14.00	27075.72	97756	8363.68	F	1-URGENT
23076	45.00	49097.70	33754	292.33	F	1-URGENT
24199	37.00	50926.06	97558	5772.33	F	1-URGENT
20964	24.00	40791.12	946	2990.73	F	1-URGENT
20964	41.00	69519.60	946	2990.73	F	1-URGENT
21030	18.00	25766.46	30517	2238.69	F	1-URGENT
21030	31.00	62340.07	30517	2238.69	F	1-URGENT
21410	4.00	7183.32	149929	7239.15	F	1-URGENT
21415	24.00	26139.36	78788	8942.09	F	1-URGENT
21415	22.00	36181.86	78788	8942.09	F	1-URGENT
21415	10.00	18258.60	78788	8942.09	F	1-URGENT
21573	47.00	76590.73	31600	1513.33	F	1-URGENT
21573	12.00	14367.24	31600	1513.33	F	1-URGENT
21573	21.00	32559.45	31600	1513.33	F	1-URGENT
21860	48.00	74763.36	60403	4675.48	F	1-URGENT
22563	23.00	45445.70	85321	7164.11	F	1-URGENT
22563	2.00	2818.68	85321	7164.11	F	1-URGENT
23587	14.00	14742.14	126115	3267.46	F	1-URGENT
23911	37.00	70294.45	31756	8584.20	F	1-URGENT
24098	18.00	23640.12	66955	8455.59	F	1-URGENT
24098	35.00	65269.75	66955	8455.59	F	1-URGENT
20577	26.00	42162.64	71143	1576.18	F	1-URGENT
20934	44.00	65277.52	7798	8383.36	F	1-URGENT
21574	36.00	35496.36	75370	5571.89	F	1-URGENT
22817	48.00	54245.28	115198	5926.28	F	1-URGENT
22817	49.00	76806.52	115198	5926.28	F	1-URGENT
22948	26.00	43230.46	7774	5142.90	F	1-URGENT
22948	4.00	7951.80	7774	5142.90	F	1-URGENT
20672	41.00	55114.25	115705	6539.69	F	1-URGENT
20772	17.00	20609.10	141106	2318.29	F	1-URGENT
22020	31.00	40123.92	33031	9082.69	F	1-URGENT
22020	14.00	22001.14	33031	9082.69	F	1-URGENT
22022	14.00	26205.76	112942	2124.57	F	1-URGENT
23073	37.00	49039.06	126053	6646.83	F	1-URGENT
23073	29.00	54748.81	126053	6646.83	F	1-URGENT
23424	16.00	25208.48	6595	2348.08	F	1-URGENT
23424	17.00	20932.44	6595	2348.08	F	1-URGENT
20325	27.00	26109.00	134111	3495.17	F	1-URGENT
20455	21.00	22177.05	18112	6558.09	F	1-URGENT
20772	27.00	32378.13	141106	2318.29	F	1-URGENT
22020	49.00	84262.36	33031	9082.69	F	1-URGENT
22022	14.00	24439.66	112942	2124.57	F	1-URGENT
22022	13.00	14054.95	112942	2124.57	F	1-URGENT
22470	14.00	21245.00	54586	7602.79	F	1-URGENT
22626	18.00	33385.86	65881	4886.42	F	1-URGENT
22913	23.00	41282.24	88243	625.31	F	1-URGENT
22913	21.00	23984.94	88243	625.31	F	1-URGENT
23810	17.00	25033.52	147635	369.35	F	1-URGENT
20069	15.00	21651.00	63463	3036.04	F	1-URGENT
20135	17.00	32330.94	137122	3090.20	F	1-URGENT
20322	4.00	7006.72	117391	7199.23	F	1-URGENT
20518	47.00	64080.27	79306	581.86	F	1-URGENT
21602	37.00	45923.66	115652	9253.53	F	1-URGENT
21861	31.00	50115.53	121078	1338.17	F	1-URGENT
21861	2.00	3601.42	121078	1338.17	F	1-URGENT
23008	34.00	51626.62	139744	3709.75	F	1-URGENT
23008	42.00	51167.34	139744	3709.75	F	1-URGENT
20325	46.00	59444.42	134111	3495.17	F	1-URGENT
20325	48.00	52327.20	134111	3495.17	F	1-URGENT
20455	41.00	44940.92	18112	6558.09	F	1-URGENT
20455	40.00	56012.80	18112	6558.09	F	1-URGENT
20772	21.00	35083.65	141106	2318.29	F	1-URGENT
22020	6.00	9597.60	33031	9082.69	F	1-URGENT
22020	44.00	46029.72	33031	9082.69	F	1-URGENT
22020	15.00	26817.00	33031	9082.69	F	1-URGENT
22117	5.00	8318.20	38600	9731.52	F	1-URGENT
22626	4.00	5145.36	65881	4886.42	F	1-URGENT
22913	34.00	45195.52	88243	625.31	F	1-URGENT
22913	2.00	2434.62	88243	625.31	F	1-URGENT
22913	41.00	70714.34	88243	625.31	F	1-URGENT
22913	43.00	75411.68	88243	625.31	F	1-URGENT
23361	9.00	14424.03	24490	6481.84	F	1-URGENT
23361	19.00	27994.41	24490	6481.84	F	1-URGENT
23719	38.00	54204.72	7126	3280.11	F	1-URGENT
20069	12.00	17381.52	63463	3036.04	F	1-URGENT
21861	36.00	67605.84	121078	1338.17	F	1-URGENT
21861	29.00	51035.36	121078	1338.17	F	1-URGENT
21985	20.00	37519.20	21697	2156.36	F	1-URGENT
21985	20.00	30972.20	21697	2156.36	F	1-URGENT
21985	25.00	44792.25	21697	2156.36	F	1-URGENT
21985	23.00	34005.73	21697	2156.36	F	1-URGENT
22374	21.00	33886.23	97756	8363.68	F	1-URGENT
23008	41.00	49327.51	139744	3709.75	F	1-URGENT
20100	9.00	9873.18	88675	9858.46	F	1-URGENT
20100	49.00	74943.54	88675	9858.46	F	1-URGENT
20484	38.00	37202.76	111640	860.51	F	1-URGENT
20484	31.00	54027.42	111640	860.51	F	1-URGENT
20711	21.00	22114.89	108488	4522.02	F	1-URGENT
21095	45.00	58653.00	77041	9519.06	F	1-URGENT
21095	41.00	43053.69	77041	9519.06	F	1-URGENT
22083	46.00	92365.70	147151	2690.82	F	1-URGENT
22083	17.00	22684.46	147151	2690.82	F	1-URGENT
22243	49.00	60963.84	106261	703.97	F	1-URGENT
22243	22.00	35830.52	106261	703.97	F	1-URGENT
22243	44.00	61572.28	106261	703.97	F	1-URGENT
22243	21.00	31701.60	106261	703.97	F	1-URGENT
22851	29.00	53179.33	110009	9866.02	F	1-URGENT
23429	18.00	26593.38	118243	7245.59	F	1-URGENT
20451	17.00	26579.50	83821	8347.96	F	1-URGENT
20451	27.00	50890.95	83821	8347.96	F	1-URGENT
21028	11.00	11914.10	10402	4625.25	F	1-URGENT
21030	1.00	1873.80	30517	2238.69	F	1-URGENT
21573	18.00	33460.38	31600	1513.33	F	1-URGENT
22563	19.00	35925.96	85321	7164.11	F	1-URGENT
22722	48.00	78273.12	64328	7463.86	F	1-URGENT
23587	2.00	1944.08	126115	3267.46	F	1-URGENT
23587	4.00	3664.00	126115	3267.46	F	1-URGENT
23812	20.00	30911.00	131210	6199.08	F	1-URGENT
23812	41.00	46168.87	131210	6199.08	F	1-URGENT
23911	4.00	6346.12	31756	8584.20	F	1-URGENT
24098	32.00	34882.56	66955	8455.59	F	1-URGENT
20577	14.00	15653.54	71143	1576.18	F	1-URGENT
20577	9.00	12143.70	71143	1576.18	F	1-URGENT
20934	18.00	24972.48	7798	8383.36	F	1-URGENT
21574	4.00	6979.24	75370	5571.89	F	1-URGENT
20033	37.00	64071.42	3877	4681.88	F	1-URGENT
20325	18.00	28504.08	134111	3495.17	F	1-URGENT
20325	25.00	49048.00	134111	3495.17	F	1-URGENT
20325	45.00	45678.60	134111	3495.17	F	1-URGENT
20772	11.00	11726.11	141106	2318.29	F	1-URGENT
22053	35.00	49256.90	88127	512.27	F	1-URGENT
22117	11.00	16328.29	38600	9731.52	F	1-URGENT
22117	29.00	36255.80	38600	9731.52	F	1-URGENT
22117	48.00	88838.40	38600	9731.52	F	1-URGENT
22626	14.00	19031.60	65881	4886.42	F	1-URGENT
22626	22.00	33033.66	65881	4886.42	F	1-URGENT
22626	10.00	17398.00	65881	4886.42	F	1-URGENT
22626	16.00	23398.56	65881	4886.42	F	1-URGENT
23361	6.00	10895.46	24490	6481.84	F	1-URGENT
23719	2.00	2766.92	7126	3280.11	F	1-URGENT
23719	39.00	57192.72	7126	3280.11	F	1-URGENT
20069	12.00	17849.40	63463	3036.04	F	1-URGENT
20518	15.00	26591.40	79306	581.86	F	1-URGENT
20518	35.00	47089.35	79306	581.86	F	1-URGENT
20965	48.00	58090.56	123971	7881.07	F	1-URGENT
20965	17.00	19040.34	123971	7881.07	F	1-URGENT
22339	37.00	39962.59	15202	7621.44	F	1-URGENT
22374	20.00	37336.80	97756	8363.68	F	1-URGENT
23008	50.00	56208.00	139744	3709.75	F	1-URGENT
24003	13.00	26207.61	48664	756.02	F	1-URGENT
20226	14.00	24635.66	122206	7509.71	F	1-URGENT
20484	9.00	17341.83	111640	860.51	F	1-URGENT
21095	19.00	31781.49	77041	9519.06	F	1-URGENT
22851	20.00	33474.60	110009	9866.02	F	1-URGENT
22851	34.00	36585.70	110009	9866.02	F	1-URGENT
23076	24.00	41943.84	33754	292.33	F	1-URGENT
23429	17.00	33540.83	118243	7245.59	F	1-URGENT
23429	43.00	80017.41	118243	7245.59	F	1-URGENT
23429	39.00	55005.60	118243	7245.59	F	1-URGENT
20066	44.00	71569.96	68431	6026.06	F	1-URGENT
20451	11.00	12595.55	83821	8347.96	F	1-URGENT
20451	20.00	38097.40	83821	8347.96	F	1-URGENT
20451	21.00	32920.23	83821	8347.96	F	1-URGENT
21028	44.00	82143.16	10402	4625.25	F	1-URGENT
22434	47.00	78097.08	102517	6269.70	F	1-URGENT
22434	47.00	76218.49	102517	6269.70	F	1-URGENT
22434	27.00	50376.33	102517	6269.70	F	1-URGENT
23812	20.00	23224.20	131210	6199.08	F	1-URGENT
20455	48.00	75820.80	18112	6558.09	F	1-URGENT
21127	47.00	86946.71	18298	7427.17	F	1-URGENT
21127	38.00	54316.06	18298	7427.17	F	1-URGENT
22053	17.00	21577.93	88127	512.27	F	1-URGENT
22053	30.00	55497.60	88127	512.27	F	1-URGENT
22053	33.00	58866.06	88127	512.27	F	1-URGENT
22117	2.00	3547.72	38600	9731.52	F	1-URGENT
22626	38.00	54393.20	65881	4886.42	F	1-URGENT
22882	10.00	9760.10	81907	8188.31	F	1-URGENT
22882	11.00	11804.10	81907	8188.31	F	1-URGENT
22913	44.00	81746.28	88243	625.31	F	1-URGENT
23046	43.00	79240.40	128102	7280.76	F	1-URGENT
23046	50.00	80077.50	128102	7280.76	F	1-URGENT
23361	7.00	12625.90	24490	6481.84	F	1-URGENT
23361	40.00	76917.60	24490	6481.84	F	1-URGENT
20066	4.00	4052.20	68431	6026.06	F	1-URGENT
20066	4.00	8227.84	68431	6026.06	F	1-URGENT
20131	26.00	51921.22	146311	2781.82	F	1-URGENT
20131	35.00	61594.05	146311	2781.82	F	1-URGENT
20354	43.00	62931.79	45931	9105.10	F	1-URGENT
21284	26.00	31155.28	112024	3446.88	F	1-URGENT
21284	37.00	37631.22	112024	3446.88	F	1-URGENT
22722	38.00	54357.48	64328	7463.86	F	1-URGENT
22722	40.00	72235.20	64328	7463.86	F	1-URGENT
22722	34.00	32165.02	64328	7463.86	F	1-URGENT
22722	31.00	32427.55	64328	7463.86	F	1-URGENT
22722	29.00	30595.29	64328	7463.86	F	1-URGENT
22722	2.00	2228.32	64328	7463.86	F	1-URGENT
22979	42.00	45948.42	147401	1720.29	F	1-URGENT
23648	7.00	10867.36	86819	3814.29	F	1-URGENT
23648	23.00	26153.30	86819	3814.29	F	1-URGENT
23812	23.00	30321.13	131210	6199.08	F	1-URGENT
20386	33.00	37295.94	353	3199.03	F	1-URGENT
20450	5.00	7907.95	7360	6563.75	F	1-URGENT
20934	25.00	46871.25	7798	8383.36	F	1-URGENT
21120	10.00	10150.80	146836	1933.64	F	1-URGENT
21120	26.00	41279.42	146836	1933.64	F	1-URGENT
21120	46.00	75611.12	146836	1933.64	F	1-URGENT
21574	3.00	5219.31	75370	5571.89	F	1-URGENT
21574	46.00	72612.38	75370	5571.89	F	1-URGENT
21574	11.00	13873.20	75370	5571.89	F	1-URGENT
23073	9.00	13811.04	126053	6646.83	F	1-URGENT
23073	30.00	57659.10	126053	6646.83	F	1-URGENT
20069	20.00	32891.60	63463	3036.04	F	1-URGENT
20452	28.00	34588.40	99170	6923.28	F	1-URGENT
23008	41.00	54464.40	139744	3709.75	F	1-URGENT
24003	21.00	39770.64	48664	756.02	F	1-URGENT
24003	21.00	21610.26	48664	756.02	F	1-URGENT
24003	23.00	26961.06	48664	756.02	F	1-URGENT
21286	45.00	76130.10	60686	6429.70	F	1-URGENT
22402	9.00	11171.79	63184	2367.79	F	1-URGENT
22402	33.00	31482.00	63184	2367.79	F	1-URGENT
22851	44.00	63470.88	110009	9866.02	F	1-URGENT
23233	6.00	8978.82	145972	7072.35	F	1-URGENT
20965	16.00	26233.28	123971	7881.07	F	1-URGENT
22339	22.00	38802.72	15202	7621.44	F	1-URGENT
22561	31.00	39967.37	5089	1065.85	F	1-URGENT
23971	22.00	33427.68	92441	7493.92	F	1-URGENT
24003	22.00	23606.88	48664	756.02	F	1-URGENT
24003	20.00	30371.60	48664	756.02	F	1-URGENT
20386	23.00	38587.56	353	3199.03	F	1-URGENT
20577	18.00	23550.48	71143	1576.18	F	1-URGENT
20577	12.00	14329.20	71143	1576.18	F	1-URGENT
20577	41.00	67679.11	71143	1576.18	F	1-URGENT
20577	15.00	16545.90	71143	1576.18	F	1-URGENT
20934	48.00	46272.00	7798	8383.36	F	1-URGENT
21120	9.00	10909.08	146836	1933.64	F	1-URGENT
21120	10.00	12132.40	146836	1933.64	F	1-URGENT
22020	1.00	1454.40	33031	9082.69	F	1-URGENT
23073	31.00	60571.52	126053	6646.83	F	1-URGENT
23073	29.00	31932.48	126053	6646.83	F	1-URGENT
23073	47.00	51277.47	126053	6646.83	F	1-URGENT
20135	24.00	25731.36	137122	3090.20	F	1-URGENT
20135	5.00	7898.30	137122	3090.20	F	1-URGENT
20135	5.00	9444.75	137122	3090.20	F	1-URGENT
22402	16.00	26795.20	63184	2367.79	F	1-URGENT
23076	19.00	29401.36	33754	292.33	F	1-URGENT
23076	18.00	26701.02	33754	292.33	F	1-URGENT
23076	28.00	48684.16	33754	292.33	F	1-URGENT
23076	21.00	34201.86	33754	292.33	F	1-URGENT
20965	26.00	41876.38	123971	7881.07	F	1-URGENT
21475	7.00	8863.33	113791	734.45	F	1-URGENT
21475	34.00	63198.18	113791	734.45	F	1-URGENT
21475	17.00	21509.76	113791	734.45	F	1-URGENT
22339	25.00	36635.50	15202	7621.44	F	1-URGENT
22561	5.00	8673.95	5089	1065.85	F	1-URGENT
23971	12.00	13309.56	92441	7493.92	F	1-URGENT
20066	48.00	86341.44	68431	6026.06	F	1-URGENT
20066	13.00	19780.15	68431	6026.06	F	1-URGENT
20066	36.00	48468.60	68431	6026.06	F	1-URGENT
20354	41.00	68170.70	45931	9105.10	F	1-URGENT
20354	32.00	50512.00	45931	9105.10	F	1-URGENT
20609	42.00	78660.12	59797	6736.06	F	1-URGENT
21440	46.00	82651.88	137674	343.48	F	1-URGENT
21440	26.00	27222.52	137674	343.48	F	1-URGENT
22434	45.00	73741.05	102517	6269.70	F	1-URGENT
22948	44.00	73332.60	7774	5142.90	F	1-URGENT
22979	17.00	23211.63	147401	1720.29	F	1-URGENT
23648	16.00	21141.92	86819	3814.29	F	1-URGENT
23648	44.00	81613.84	86819	3814.29	F	1-URGENT
23812	19.00	38189.43	131210	6199.08	F	1-URGENT
20135	22.00	21714.00	137122	3090.20	F	1-URGENT
20322	48.00	71593.92	117391	7199.23	F	1-URGENT
20322	41.00	81013.95	117391	7199.23	F	1-URGENT
20322	40.00	65984.80	117391	7199.23	F	1-URGENT
20322	26.00	37375.52	117391	7199.23	F	1-URGENT
21286	26.00	46302.62	60686	6429.70	F	1-URGENT
21286	30.00	51198.90	60686	6429.70	F	1-URGENT
21381	9.00	16476.93	25930	7699.44	F	1-URGENT
21602	46.00	58888.74	115652	9253.53	F	1-URGENT
21861	15.00	16187.25	121078	1338.17	F	1-URGENT
21861	44.00	67917.52	121078	1338.17	F	1-URGENT
21985	40.00	70794.00	21697	2156.36	F	1-URGENT
22402	27.00	47889.90	63184	2367.79	F	1-URGENT
20066	22.00	38625.84	68431	6026.06	F	1-URGENT
20354	33.00	37989.27	45931	9105.10	F	1-URGENT
20354	45.00	76261.95	45931	9105.10	F	1-URGENT
20450	24.00	45189.12	7360	6563.75	F	1-URGENT
22434	8.00	8392.48	102517	6269.70	F	1-URGENT
22434	40.00	51853.60	102517	6269.70	F	1-URGENT
22434	23.00	30044.44	102517	6269.70	F	1-URGENT
22948	43.00	55006.46	7774	5142.90	F	1-URGENT
23648	29.00	35646.80	86819	3814.29	F	1-URGENT
23648	27.00	46407.60	86819	3814.29	F	1-URGENT
20452	4.00	4204.48	99170	6923.28	F	1-URGENT
20965	3.00	3772.02	123971	7881.07	F	1-URGENT
21475	32.00	42827.84	113791	734.45	F	1-URGENT
22561	35.00	35140.00	5089	1065.85	F	1-URGENT
22561	15.00	28257.00	5089	1065.85	F	1-URGENT
22753	48.00	64625.28	27512	6053.09	F	1-URGENT
21348	19.00	27728.98	11672	2324.53	F	1-URGENT
21475	47.00	73020.61	113791	734.45	F	1-URGENT
22561	47.00	87175.13	5089	1065.85	F	1-URGENT
22561	23.00	42383.25	5089	1065.85	F	1-URGENT
22561	6.00	10017.72	5089	1065.85	F	1-URGENT
l_orderkey	l_quantity	l_extendedprice	c_acctbal	o_orderstatus	o_clerk
3980231	25.00	31429.75	4436	F	Clerk#000000243
2326566	42.00	63609.84	137024	F	Clerk#000000243
2326566	38.00	47392.46	137024	F	Clerk#000000243
3300451	14.00	23023.70	9227	F	Clerk#000000243
3980231	48.00	55155.84	4436	F	Clerk#000000243
3980231	5.00	8663.40	4436	F	Clerk#000000243
3300451	12.00	18907.56	9227	F	Clerk#000000243
3980231	31.00	49276.67	4436	F	Clerk#000000243
3980231	40.00	59422.80	4436	F	Clerk#000000243
3980231	26.00	39896.48	4436	F	Clerk#000000243
3980231	5.00	5800.65	4436	F	Clerk#000000243
4152999	41.00	78346.49	106429	F	Clerk#000000243
5949319	44.00	47129.28	50344	F	Clerk#000000243
5949319	2.00	2466.62	50344	F	Clerk#000000243
3472612	17.00	20233.74	114443	F	Clerk#000000243
4152999	6.00	7494.90	106429	F	Clerk#000000243
4152999	49.00	72149.56	106429	F	Clerk#000000243
4346309	7.00	12766.74	95758	F	Clerk#000000243
4346309	36.00	66196.80	95758	F	Clerk#000000243
4346309	48.00	75339.84	95758	F	Clerk#000000243
4346309	29.00	43806.53	95758	F	Clerk#000000243
3800899	47.00	57068.34	148270	F	Clerk#000000243
3800899	33.00	59131.05	148270	F	Clerk#000000243
3800899	20.00	24564.20	148270	F	Clerk#000000243
3800899	7.00	13572.02	148270	F	Clerk#000000243
4912645	47.00	51519.52	31798	F	Clerk#000000243
369766	30.00	52970.10	42898	F	Clerk#000000243
3392071	18.00	25909.20	5222	F	Clerk#000000243
4152999	33.00	48192.87	106429	F	Clerk#000000243
4152999	40.00	42564.40	106429	F	Clerk#000000243
4912645	47.00	62763.33	31798	F	Clerk#000000243
4912645	17.00	29234.39	31798	F	Clerk#000000243
5616352	23.00	34325.66	51971	F	Clerk#000000243
615843	21.00	28590.45	33178	F	Clerk#000000243
898406	18.00	34143.66	138133	F	Clerk#000000243
898406	23.00	42913.63	138133	F	Clerk#000000243
898406	37.00	48259.47	138133	F	Clerk#000000243
1421666	30.00	48857.40	86236	F	Clerk#000000243
2374727	46.00	58799.96	149029	F	Clerk#000000243
5427842	38.00	61047.38	66130	F	Clerk#000000243
5427842	26.00	33157.80	66130	F	Clerk#000000243
1421666	1.00	1623.68	86236	F	Clerk#000000243
615843	29.00	46910.40	33178	F	Clerk#000000243
695490	34.00	63744.22	29026	F	Clerk#000000243
898406	48.00	71736.00	138133	F	Clerk#000000243
898406	33.00	48824.16	138133	F	Clerk#000000243
1421666	29.00	44179.47	86236	F	Clerk#000000243
1421666	21.00	34959.75	86236	F	Clerk#000000243
1421666	17.00	28962.73	86236	F	Clerk#000000243
1508071	40.00	52934.40	141028	F	Clerk#000000243
2187713	9.00	13937.49	93131	F	Clerk#000000243
5427842	5.00	5765.35	66130	F	Clerk#000000243
3827684	42.00	72649.92	124940	F	Clerk#000000243
3827684	47.00	89623.36	124940	F	Clerk#000000243
2374727	21.00	30418.08	149029	F	Clerk#000000243
2374727	10.00	18797.80	149029	F	Clerk#000000243
2374727	10.00	17457.10	149029	F	Clerk#000000243
2374727	9.00	13505.13	149029	F	Clerk#000000243
4120772	37.00	57110.61	145234	F	Clerk#000000243
4192992	50.00	59011.00	46037	F	Clerk#000000243
3800899	37.00	63520.49	148270	F	Clerk#000000243
3800899	46.00	75242.66	148270	F	Clerk#000000243
4371365	11.00	17761.26	49850	F	Clerk#000000243
5427842	15.00	26788.05	66130	F	Clerk#000000243
5427842	26.00	37631.88	66130	F	Clerk#000000243
5641188	2.00	2889.00	134155	F	Clerk#000000243
615843	48.00	71829.60	33178	F	Clerk#000000243
898406	50.00	65468.50	138133	F	Clerk#000000243
3392071	35.00	40011.30	5222	F	Clerk#000000243
3392071	49.00	81519.34	5222	F	Clerk#000000243
1356226	48.00	80627.52	45040	F	Clerk#000000243
1356226	44.00	53163.44	45040	F	Clerk#000000243
1508071	17.00	30527.41	141028	F	Clerk#000000243
4346309	44.00	64881.08	95758	F	Clerk#000000243
4346309	4.00	6594.96	95758	F	Clerk#000000243
3827684	33.00	45186.57	124940	F	Clerk#000000243
4371365	25.00	46923.00	49850	F	Clerk#000000243
1421666	23.00	28547.60	86236	F	Clerk#000000243
1588482	50.00	84231.00	100219	F	Clerk#000000243
3827684	6.00	9128.82	124940	F	Clerk#000000243
3827684	15.00	26262.30	124940	F	Clerk#000000243
3827684	39.00	44505.63	124940	F	Clerk#000000243
3942533	43.00	55564.60	50242	F	Clerk#000000243
3942533	23.00	34325.20	50242	F	Clerk#000000243
4371365	43.00	80838.28	49850	F	Clerk#000000243
4371365	47.00	56642.99	49850	F	Clerk#000000243
4371365	9.00	10567.71	49850	F	Clerk#000000243
4639174	35.00	40532.80	116953	F	Clerk#000000243
5227300	26.00	51531.22	87433	F	Clerk#000000243
4788966	38.00	54622.34	1294	F	Clerk#000000243
4788966	19.00	20903.42	1294	F	Clerk#000000243
3392071	20.00	29729.20	5222	F	Clerk#000000243
3472612	18.00	26052.48	114443	F	Clerk#000000243
3472612	41.00	54670.22	114443	F	Clerk#000000243
2890210	49.00	61068.21	56224	F	Clerk#000000243
2890210	33.00	45188.55	56224	F	Clerk#000000243
2890210	45.00	48510.45	56224	F	Clerk#000000243
2187713	13.00	14599.26	93131	F	Clerk#000000243
4779428	20.00	31332.00	15104	F	Clerk#000000243
4844935	31.00	55981.35	86023	F	Clerk#000000243
4925895	13.00	13728.52	88522	F	Clerk#000000243
627588	29.00	49726.88	139384	F	Clerk#000000243
5193568	42.00	63528.78	43049	F	Clerk#000000243
5193568	23.00	23966.46	43049	F	Clerk#000000243
4152999	17.00	31259.60	106429	F	Clerk#000000243
1992388	13.00	21146.84	136408	F	Clerk#000000243
4371365	49.00	52583.86	49850	F	Clerk#000000243
4639174	42.00	60582.90	116953	F	Clerk#000000243
5227300	9.00	9550.17	87433	F	Clerk#000000243
3562689	33.00	54870.09	119107	F	Clerk#000000243
3913696	33.00	58537.71	142255	F	Clerk#000000243
4120772	17.00	24725.65	145234	F	Clerk#000000243
4120772	22.00	30522.36	145234	F	Clerk#000000243
4788966	45.00	80765.55	1294	F	Clerk#000000243
4844935	36.00	46922.04	86023	F	Clerk#000000243
4844935	43.00	72140.67	86023	F	Clerk#000000243
627588	7.00	10832.50	139384	F	Clerk#000000243
1298341	48.00	55251.84	8401	F	Clerk#000000243
695490	9.00	10198.89	29026	F	Clerk#000000243
1992388	15.00	28498.65	136408	F	Clerk#000000243
695490	16.00	23976.00	29026	F	Clerk#000000243
3311654	40.00	70752.00	8054	F	Clerk#000000243
3311654	43.00	52511.17	8054	F	Clerk#000000243
3311654	30.00	32791.20	8054	F	Clerk#000000243
4844935	50.00	48602.00	86023	F	Clerk#000000243
1356226	43.00	48814.46	45040	F	Clerk#000000243
1356226	33.00	36667.62	45040	F	Clerk#000000243
1356226	27.00	33160.86	45040	F	Clerk#000000243
3562689	38.00	62419.94	119107	F	Clerk#000000243
3562689	34.00	37198.72	119107	F	Clerk#000000243
4788966	8.00	15959.20	1294	F	Clerk#000000243
2187713	50.00	58660.00	93131	F	Clerk#000000243
3311654	26.00	31255.38	8054	F	Clerk#000000243
4120772	27.00	40918.77	145234	F	Clerk#000000243
4120772	36.00	47492.64	145234	F	Clerk#000000243
4925895	35.00	56970.20	88522	F	Clerk#000000243
4925895	18.00	29927.88	88522	F	Clerk#000000243
627588	37.00	50558.65	139384	F	Clerk#000000243
627588	22.00	27504.18	139384	F	Clerk#000000243
627588	4.00	5897.60	139384	F	Clerk#000000243
739878	28.00	30773.68	42898	F	Clerk#000000243
739878	27.00	39757.50	42898	F	Clerk#000000243
